iter	Passed	Remaining
596	6727	4541
597	6729	4524
598	6732	4506
599	6734	4489
600	6737	4472
601	6739	4455
602	6742	4439
603	6744	4422
604	6747	4405
605	6750	4388
606	6752	4371
607	6755	4355
608	6757	4338
609	6760	4322
610	6762	4305
611	6765	4289
612	6768	4272
613	6770	4256
614	6773	4240
615	6775	4223
616	6778	4207
617	6780	4191
618	6783	4175
619	6785	4159
620	6788	4143
621	6791	4127
622	6793	4111
623	6796	4095
624	6798	4079
625	6801	4063
626	6803	4047
627	6806	4031
628	6808	4016
629	6811	4000
630	6814	3984
631	6816	3969
632	6819	3953
633	6821	3938
634	6824	3922
635	6826	3907
636	6829	3891
637	6832	3876
638	6834	3861
639	6837	3846
640	6839	3830
641	6842	3815
642	6846	3800
643	6848	3785
644	6851	3770
645	6853	3755
646	6856	3740
647	6858	3725
648	6861	3710
649	6863	3695
650	6866	3680
651	6868	3666
652	6871	3651
653	6873	3636
654	6876	3621
655	6878	3607
656	6881	3592
657	6884	3578
658	6886	3563
659	6889	3549
660	6891	3534
661	6894	3520
662	6897	3505
663	6899	3491
664	6902	3477
665	6904	3462
666	6907	3448
667	6909	3434
668	6912	3419
669	6914	3405
670	6917	3391
671	6919	3377
672	6922	3363
673	6925	3349
674	6927	3335
675	6930	3321
676	6932	3307
677	6935	3293
678	6937	3279
679	6940	3266
680	6942	3252
681	6945	3238
682	6948	3224
683	6948	3210
684	6951	3196
685	6954	3183
686	6956	3169
687	6959	3155
688	6961	3142
689	6964	3128
690	6966	3115
691	6969	3101
692	6971	3088
693	6974	3075
694	6977	3061
695	6979	3048
696	6982	3035
697	6985	3022
698	6987	3009
699	6990	2995
700	6992	2982
701	6995	2969
702	6997	2956
703	7000	2943
704	7002	2930
705	7005	2917
706	7008	2904
707	7010	2891
708	7013	2878
709	7015	2865
710	7018	2852
711	7020	2839
712	7023	2826
713	7025	2814
714	7028	2801
715	7030	2788
716	7033	2776
717	7035	2763
718	7038	2750
719	7040	2738
720	7043	2725
721	7046	2713
722	7048	2700
723	7051	2688
724	7053	2675
725	7056	2663
726	7058	2650
727	7061	2638
728	7063	2625
729	7066	2613
730	7068	2601
731	7071	2588
732	7073	2576
733	7076	2564
734	7079	2552
735	7081	2540
736	7084	2527
737	7086	2515
738	7089	2503
739	7091	2491
740	7094	2479
741	7096	2467
742	7099	2455
743	7102	2443
744	7104	2431
745	7107	2419
746	7109	2407
747	7112	2396
748	7114	2384
749	7117	2372
750	7119	2360
751	7122	2348
752	7125	2337
753	7127	2325
754	7130	2313
755	7132	2302
756	7135	2290
757	7138	2278
758	7140	2267
759	7143	2255
760	7146	2244
761	7148	2232
762	7151	2221
763	7153	2209
764	7156	2198
765	7158	2186
766	7161	2175
767	7163	2164
768	7166	2152
769	7168	2141
770	7171	2130
771	7173	2118
772	7176	2107
773	7179	2096
774	7181	2085
775	7184	2073
776	7187	2062
777	7189	2051
778	7192	2040
779	7194	2029
780	7197	2018
781	7199	2007
782	7202	1996
783	7204	1985
784	7207	1974
785	7209	1963
786	7212	1952
787	7215	1941
788	7217	1930
789	7220	1919
790	7222	1908
791	7225	1897
792	7228	1886
793	7230	1875
794	7233	1865
795	7235	1854
796	7238	1843
797	7240	1832
798	7243	1822
799	7245	1811
800	7248	1800
801	7250	1790
802	7253	1779
803	7255	1768
804	7258	1758
805	7261	1747
806	7263	1737
807	7266	1726
808	7268	1716
809	7271	1705
810	7274	1695
811	7276	1684
812	7279	1674
813	7281	1663
814	7284	1653
815	7287	1643
816	7290	1632
817	7292	1622
818	7295	1612
819	7298	1602
820	7300	1591
821	7303	1581
822	7305	1571
823	7308	1561
824	7311	1550
825	7313	1540
826	7316	1530
827	7318	1520
828	7321	1510
829	7323	1500
830	7326	1489
831	7328	1479
832	7331	1469
833	7333	1459
834	7336	1449
835	7338	1439
836	7341	1429
837	7344	1419
838	7346	1409
839	7349	1399
840	7351	1389
841	7354	1379
842	7356	1370
843	7359	1360
844	7361	1350
845	7364	1340
846	7366	1330
847	7369	1320
848	7372	1311
849	7374	1301
850	7377	1291
851	7379	1281
852	7382	1272
853	7384	1262
854	7387	1252
855	7389	1243
856	7392	1233
857	7394	1223
858	7397	1214
859	7399	1204
860	7402	1195
861	7405	1185
862	7407	1175
863	7410	1166
864	7412	1156
865	7415	1147
866	7417	1137
867	7420	1128
868	7422	1118
869	7425	1109
870	7428	1100
871	7430	1090
872	7433	1081
873	7435	1071
874	7438	1062
875	7440	1053
876	7443	1043
877	7446	1034
878	7448	1025
879	7451	1016
880	7453	1006
881	7456	997
882	7459	988
883	7462	979
884	7464	969
885	7467	960
886	7469	951
887	7472	942
888	7475	933
889	7477	924
890	7480	915
891	7482	905
892	7485	896
893	7487	887
894	7490	878
895	7493	869
896	7495	860
897	7497	851
898	7500	842
899	7502	833
900	7505	824
901	7508	815
902	7510	806
903	7513	797
904	7515	788
905	7518	780
906	7520	771
907	7523	762
908	7525	753
909	7528	744
910	7530	735
911	7533	726
912	7536	718
913	7539	709
914	7542	700
915	7544	691
916	7547	683
917	7549	674
918	7552	665
919	7554	656
920	7557	648
921	7559	639
922	7562	630
923	7564	622
924	7567	613
925	7569	604
926	7572	596
927	7575	587
928	7577	579
929	7580	570
930	7582	561
931	7585	553
932	7587	544
933	7590	536
934	7592	527
935	7595	519
936	7598	510
937	7600	502
938	7603	493
939	7605	485
940	7608	477
941	7610	468
942	7613	460
943	7616	451
944	7618	443
945	7621	435
946	7624	426
947	7627	418
948	7629	410
949	7632	401
950	7635	393
951	7637	385
952	7640	376
953	7642	368
954	7645	360
955	7647	351
956	7650	343
957	7653	335
958	7655	327
959	7658	319
960	7660	310
961	7663	302
962	7666	294
963	7668	286
964	7671	278
965	7673	270
966	7675	261
967	7678	253
968	7681	245
969	7683	237
970	7686	229
971	7688	221
972	7691	213
973	7693	205
974	7696	197
975	7698	189
976	7701	181
977	7704	173
978	7706	165
979	7709	157
980	7711	149
981	7714	141
982	7717	133
983	7719	125
984	7721	117
985	7723	109
986	7726	101
987	7728	93
988	7731	85
989	7733	78
990	7736	70
991	7738	62
992	7741	54
993	7744	46
994	7746	38
995	7749	31
996	7751	23
997	7752	15
998	7755	7
999	7758	0
